,TimeStamp,ID,Age,Gender,Language,StimulusL,StimulusR,Response,OrientationL,OrientationR,BlankSpaceL,BlankSpaceR,ComplexityL,ComplexityR,NoiseL,NoiseR,Reaction_time,reaction_time
0,2021_Oct_29_1113,016,23,female,danish,stimulus_o1_b3_c3_n2,stimulus_o2_b3_c2_n2,right,1,2,3,3,3,2,2,2,,3.791962600000261
1,2021_Oct_29_1113,016,23,female,danish,stimulus_o1_b1_c1_n2,stimulus_o1_b1_c1_n3,left,1,1,1,1,1,1,2,3,,4.9635018999997556
2,2021_Oct_29_1113,016,23,female,danish,stimulus_o1_b1_c1_n2,stimulus_o2_b1_c1_n1,right,1,2,1,1,1,1,2,1,,2.82054319999952
3,2021_Oct_29_1113,016,23,female,danish,stimulus_o2_b1_c2_n3,stimulus_o2_b3_c3_n1,right,2,2,1,3,2,3,3,1,,1.956588200000624
4,2021_Oct_29_1113,016,23,female,danish,stimulus_o1_b2_c2_n3,stimulus_o2_b2_c3_n3,right,1,2,2,2,2,3,3,3,,3.2710227999996278
5,2021_Oct_29_1113,016,23,female,danish,stimulus_o1_b2_c3_n1,stimulus_o1_b3_c1_n3,right,1,1,2,3,3,1,1,3,,2.4213120999993407
6,2021_Oct_29_1113,016,23,female,danish,stimulus_o2_b1_c2_n1,stimulus_o2_b3_c1_n2,right,2,2,1,3,2,1,1,2,,1.5092798999994557
7,2021_Oct_29_1113,016,23,female,danish,stimulus_o1_b1_c3_n2,stimulus_o1_b3_c3_n3,right,1,1,1,3,3,3,2,3,,4.739341000000422
8,2021_Oct_29_1113,016,23,female,danish,stimulus_o2_b3_c1_n2,stimulus_o2_b3_c3_n3,left,2,2,3,3,1,3,2,3,,1.3329481999990094
9,2021_Oct_29_1113,016,23,female,danish,stimulus_o1_b2_c3_n3,stimulus_o2_b3_c1_n3,right,1,2,2,3,3,1,3,3,,0.928720500000054
10,2021_Oct_29_1113,016,23,female,danish,stimulus_o1_b3_c3_n1,stimulus_o2_b1_c3_n3,right,1,2,3,1,3,3,1,3,,4.174616500000411
11,2021_Oct_29_1113,016,23,female,danish,stimulus_o1_b3_c1_n1,stimulus_o2_b3_c3_n3,left,1,2,3,3,1,3,1,3,,1.6872280999996292
12,2021_Oct_29_1113,016,23,female,danish,stimulus_o2_b2_c2_n2,stimulus_o2_b3_c3_n3,left,2,2,2,3,2,3,2,3,,2.7496350000001257
13,2021_Oct_29_1113,016,23,female,danish,stimulus_o2_b1_c2_n3,stimulus_o2_b3_c2_n2,right,2,2,1,3,2,2,3,2,,2.920566400000098
