,TimeStamp,ID,Age,Gender,Language,StimulusL,StimulusR,Response,OrientationL,OrientationR,BlankSpaceL,BlankSpaceR,ComplexityL,ComplexityR,NoiseL,NoiseR,Reaction_time,reaction_time
0,2021_Nov_09_1318,034,26,male,turkish,stimulus_o1_b1_c1_n2,stimulus_o1_b3_c3_n3,left,1,1,1,3,1,3,2,3,,2.8158987000001616
1,2021_Nov_09_1318,034,26,male,turkish,stimulus_o1_b2_c1_n1,stimulus_o1_b2_c1_n2,right,1,1,2,2,1,1,1,2,,3.527681600000051
2,2021_Nov_09_1318,034,26,male,turkish,stimulus_o1_b2_c3_n2,stimulus_o2_b1_c2_n3,right,1,2,2,1,3,2,2,3,,2.475067500000023
3,2021_Nov_09_1318,034,26,male,turkish,stimulus_o1_b1_c3_n2,stimulus_o2_b2_c2_n2,right,1,2,1,2,3,2,2,2,,1.5123815000001741
4,2021_Nov_09_1318,034,26,male,turkish,stimulus_o1_b1_c1_n2,stimulus_o2_b1_c2_n1,right,1,2,1,1,1,2,2,1,,1.3658394999999928
5,2021_Nov_09_1318,034,26,male,turkish,stimulus_o1_b2_c3_n3,stimulus_o2_b2_c3_n2,right,1,2,2,2,3,3,3,2,,4.84141939999995
6,2021_Nov_09_1318,034,26,male,turkish,stimulus_o2_b3_c1_n2,stimulus_o2_b3_c1_n3,left,2,2,3,3,1,1,2,3,,3.4153767000000244
7,2021_Nov_09_1318,034,26,male,turkish,stimulus_o1_b3_c2_n2,stimulus_o1_b3_c2_n3,left,1,1,3,3,2,2,2,3,,3.103036700000075
8,2021_Nov_09_1318,034,26,male,turkish,stimulus_o2_b1_c2_n2,stimulus_o2_b2_c3_n1,right,2,2,1,2,2,3,2,1,,1.787225000000035
9,2021_Nov_09_1318,034,26,male,turkish,stimulus_o1_b3_c2_n1,stimulus_o2_b3_c1_n2,right,1,2,3,3,2,1,1,2,,1.6136715000000095
10,2021_Nov_09_1318,034,26,male,turkish,stimulus_o1_b1_c1_n1,stimulus_o2_b1_c3_n2,left,1,2,1,1,1,3,1,2,,1.5743841999999404
11,2021_Nov_09_1318,034,26,male,turkish,stimulus_o1_b2_c1_n2,stimulus_o1_b3_c1_n3,left,1,1,2,3,1,1,2,3,,3.105113500000016
12,2021_Nov_09_1318,034,26,male,turkish,stimulus_o1_b2_c2_n1,stimulus_o2_b1_c1_n2,left,1,2,2,1,2,1,1,2,,1.5578069000000596
13,2021_Nov_09_1318,034,26,male,turkish,stimulus_o2_b3_c1_n1,stimulus_o2_b3_c2_n1,left,2,2,3,3,1,2,1,1,,2.1459419000000253
14,2021_Nov_09_1318,034,26,male,turkish,stimulus_o1_b1_c1_n1,stimulus_o1_b1_c2_n1,right,1,1,1,1,1,2,1,1,,1.331770000000006
15,2021_Nov_09_1318,034,26,male,turkish,stimulus_o2_b2_c1_n3,stimulus_o2_b2_c3_n3,right,2,2,2,2,1,3,3,3,,2.321173300000055
16,2021_Nov_09_1318,034,26,male,turkish,stimulus_o1_b2_c2_n1,stimulus_o2_b3_c2_n3,right,1,2,2,3,2,2,1,3,,2.269368400000076
17,2021_Nov_09_1318,034,26,male,turkish,stimulus_o2_b1_c3_n2,stimulus_o2_b2_c3_n3,right,2,2,1,2,3,3,2,3,,2.5642806000000746
18,2021_Nov_09_1318,034,26,male,turkish,stimulus_o1_b2_c2_n3,stimulus_o2_b3_c3_n3,left,1,2,2,3,2,3,3,3,,3.006484900000032
19,2021_Nov_09_1318,034,26,male,turkish,stimulus_o1_b1_c3_n3,stimulus_o1_b3_c1_n2,right,1,1,1,3,3,1,3,2,,1.0152313999999478
20,2021_Nov_09_1318,034,26,male,turkish,stimulus_o1_b1_c1_n3,stimulus_o2_b1_c2_n2,right,1,2,1,1,1,2,3,2,,1.3529143000000659
21,2021_Nov_09_1318,034,26,male,turkish,stimulus_o1_b3_c3_n3,stimulus_o2_b1_c1_n1,right,1,2,3,1,3,1,3,1,,0.836495799999966
22,2021_Nov_09_1318,034,26,male,turkish,stimulus_o1_b2_c1_n2,stimulus_o1_b3_c1_n2,right,1,1,2,3,1,1,2,2,,1.1252590999999939
23,2021_Nov_09_1318,034,26,male,turkish,stimulus_o1_b1_c3_n3,stimulus_o2_b3_c2_n2,right,1,2,1,3,3,2,3,2,,1.650691899999856
24,2021_Nov_09_1318,034,26,male,turkish,stimulus_o1_b1_c3_n1,stimulus_o2_b3_c1_n2,right,1,2,1,3,3,1,1,2,,1.6027444999999716
25,2021_Nov_09_1318,034,26,male,turkish,stimulus_o2_b2_c2_n2,stimulus_o2_b3_c2_n2,left,2,2,2,3,2,2,2,2,,1.8127391000000443
26,2021_Nov_09_1318,034,26,male,turkish,stimulus_o1_b3_c2_n3,stimulus_o2_b1_c2_n1,right,1,2,3,1,2,2,3,1,,1.1162592999999106
27,2021_Nov_09_1318,034,26,male,turkish,stimulus_o1_b3_c3_n3,stimulus_o2_b1_c1_n2,right,1,2,3,1,3,1,3,2,,1.1869065000000774
28,2021_Nov_09_1318,034,26,male,turkish,stimulus_o1_b3_c1_n2,stimulus_o2_b1_c2_n3,left,1,2,3,1,1,2,2,3,,1.1007090000000517
29,2021_Nov_09_1318,034,26,male,turkish,stimulus_o1_b1_c1_n1,stimulus_o1_b3_c2_n3,left,1,1,1,3,1,2,1,3,,1.139192600000115
30,2021_Nov_09_1318,034,26,male,turkish,stimulus_o1_b2_c1_n1,stimulus_o1_b3_c1_n3,left,1,1,2,3,1,1,1,3,,2.352562399999897
31,2021_Nov_09_1318,034,26,male,turkish,stimulus_o1_b2_c1_n3,stimulus_o2_b1_c3_n2,right,1,2,2,1,1,3,3,2,,1.6990583000001607
32,2021_Nov_09_1318,034,26,male,turkish,stimulus_o1_b1_c1_n1,stimulus_o1_b3_c3_n2,left,1,1,1,3,1,3,1,2,,1.5445365999999012
33,2021_Nov_09_1318,034,26,male,turkish,stimulus_o1_b2_c2_n2,stimulus_o2_b1_c2_n2,right,1,2,2,1,2,2,2,2,,0.8365908000000672
34,2021_Nov_09_1318,034,26,male,turkish,stimulus_o1_b3_c3_n2,stimulus_o2_b3_c3_n1,right,1,2,3,3,3,3,2,1,,0.9970954999998867
35,2021_Nov_09_1318,034,26,male,turkish,stimulus_o1_b1_c2_n2,stimulus_o1_b3_c1_n2,right,1,1,1,3,2,1,2,2,,0.8800192999999581
36,2021_Nov_09_1318,034,26,male,turkish,stimulus_o1_b2_c3_n2,stimulus_o1_b3_c1_n1,right,1,1,2,3,3,1,2,1,,0.7899396000000252
37,2021_Nov_09_1318,034,26,male,turkish,stimulus_o1_b3_c2_n1,stimulus_o2_b2_c1_n2,right,1,2,3,2,2,1,1,2,,1.217573399999992
38,2021_Nov_09_1318,034,26,male,turkish,stimulus_o1_b2_c3_n3,stimulus_o2_b2_c2_n3,right,1,2,2,2,3,2,3,3,,0.4751934999999321
39,2021_Nov_09_1318,034,26,male,turkish,stimulus_o1_b3_c3_n2,stimulus_o2_b2_c1_n1,right,1,2,3,2,3,1,2,1,,0.4587455000000773
40,2021_Nov_09_1318,034,26,male,turkish,stimulus_o1_b1_c3_n1,stimulus_o2_b2_c3_n3,right,1,2,1,2,3,3,1,3,,1.108200300000135
41,2021_Nov_09_1318,034,26,male,turkish,stimulus_o1_b2_c3_n2,stimulus_o2_b1_c2_n2,left,1,2,2,1,3,2,2,2,,1.7376730999999381
42,2021_Nov_09_1318,034,26,male,turkish,stimulus_o1_b2_c1_n2,stimulus_o1_b2_c3_n3,left,1,1,2,2,1,3,2,3,,0.9334291000000121
43,2021_Nov_09_1318,034,26,male,turkish,stimulus_o1_b3_c2_n2,stimulus_o2_b3_c1_n3,right,1,2,3,3,2,1,2,3,,2.4423740999998245
44,2021_Nov_09_1318,034,26,male,turkish,stimulus_o1_b2_c1_n3,stimulus_o2_b2_c3_n1,right,1,2,2,2,1,3,3,1,,1.4185116999999536
45,2021_Nov_09_1318,034,26,male,turkish,stimulus_o1_b1_c1_n1,stimulus_o2_b2_c1_n3,left,1,2,1,2,1,1,1,3,,1.9400944999999865
46,2021_Nov_09_1318,034,26,male,turkish,stimulus_o2_b1_c1_n2,stimulus_o2_b1_c2_n1,left,2,2,1,1,1,2,2,1,,1.3446733000000677
47,2021_Nov_09_1318,034,26,male,turkish,stimulus_o2_b2_c3_n2,stimulus_o2_b3_c2_n3,left,2,2,2,3,3,2,2,3,,0.9717571000001044
48,2021_Nov_09_1318,034,26,male,turkish,stimulus_o1_b1_c1_n2,stimulus_o1_b2_c3_n1,left,1,1,1,2,1,3,2,1,,0.7678270000001248
49,2021_Nov_09_1318,034,26,male,turkish,stimulus_o2_b1_c3_n1,stimulus_o2_b2_c3_n1,left,2,2,1,2,3,3,1,1,,2.394343499999877
50,2021_Nov_09_1318,034,26,male,turkish,stimulus_o1_b2_c3_n3,stimulus_o2_b3_c2_n1,right,1,2,2,3,3,2,3,1,,1.4922156999998606
51,2021_Nov_09_1318,034,26,male,turkish,stimulus_o2_b1_c1_n2,stimulus_o2_b2_c1_n1,left,2,2,1,2,1,1,2,1,,2.9456776999998056
52,2021_Nov_09_1318,034,26,male,turkish,stimulus_o2_b1_c1_n3,stimulus_o2_b1_c2_n3,left,2,2,1,1,1,2,3,3,,2.444970900000044
53,2021_Nov_09_1318,034,26,male,turkish,stimulus_o1_b1_c1_n2,stimulus_o1_b1_c2_n1,right,1,1,1,1,1,2,2,1,,2.076281599999902
54,2021_Nov_09_1318,034,26,male,turkish,stimulus_o1_b1_c3_n3,stimulus_o1_b2_c2_n2,right,1,1,1,2,3,2,3,2,,1.6193519000000833
55,2021_Nov_09_1318,034,26,male,turkish,stimulus_o1_b3_c3_n3,stimulus_o2_b1_c3_n2,right,1,2,3,1,3,3,3,2,,3.3961850000000595
56,2021_Nov_09_1318,034,26,male,turkish,stimulus_o1_b1_c2_n3,stimulus_o2_b2_c3_n2,right,1,2,1,2,2,3,3,2,,3.267771099999891
57,2021_Nov_09_1318,034,26,male,turkish,stimulus_o1_b2_c3_n3,stimulus_o2_b3_c2_n2,right,1,2,2,3,3,2,3,2,,4.986261700000114
58,2021_Nov_09_1318,034,26,male,turkish,stimulus_o1_b2_c3_n3,stimulus_o2_b2_c3_n3,right,1,2,2,2,3,3,3,3,,1.112675999999965
59,2021_Nov_09_1318,034,26,male,turkish,stimulus_o1_b1_c2_n1,stimulus_o1_b2_c3_n1,right,1,1,1,2,2,3,1,1,,0.5432418999998845
60,2021_Nov_09_1318,034,26,male,turkish,stimulus_o1_b1_c3_n3,stimulus_o2_b2_c2_n1,right,1,2,1,2,3,2,3,1,,1.315776200000073
61,2021_Nov_09_1318,034,26,male,turkish,stimulus_o1_b3_c1_n1,stimulus_o1_b3_c1_n2,right,1,1,3,3,1,1,1,2,,1.1456088999998428
62,2021_Nov_09_1318,034,26,male,turkish,stimulus_o2_b1_c1_n1,stimulus_o2_b3_c2_n2,left,2,2,1,3,1,2,1,2,,2.6372928000000684
63,2021_Nov_09_1318,034,26,male,turkish,stimulus_o2_b1_c3_n2,stimulus_o2_b2_c2_n3,left,2,2,1,2,3,2,2,3,,2.4367161999998643
64,2021_Nov_09_1318,034,26,male,turkish,stimulus_o1_b1_c1_n1,stimulus_o2_b3_c2_n2,right,1,2,1,3,1,2,1,2,,1.1803690000001552
65,2021_Nov_09_1318,034,26,male,turkish,stimulus_o1_b2_c3_n3,stimulus_o2_b3_c1_n2,left,1,2,2,3,3,1,3,2,,2.3110635999998976
66,2021_Nov_09_1318,034,26,male,turkish,stimulus_o1_b1_c3_n1,stimulus_o2_b2_c1_n2,right,1,2,1,2,3,1,1,2,,0.9238043999998808
67,2021_Nov_09_1318,034,26,male,turkish,stimulus_o1_b2_c2_n2,stimulus_o1_b3_c3_n3,right,1,1,2,3,2,3,2,3,,0.7930582999999842
68,2021_Nov_09_1318,034,26,male,turkish,stimulus_o1_b3_c3_n3,stimulus_o2_b3_c3_n2,right,1,2,3,3,3,3,3,2,,2.347897200000034
69,2021_Nov_09_1318,034,26,male,turkish,stimulus_o2_b1_c3_n3,stimulus_o2_b2_c3_n3,right,2,2,1,2,3,3,3,3,,4.447879900000089
70,2021_Nov_09_1318,034,26,male,turkish,stimulus_o1_b2_c3_n1,stimulus_o2_b2_c3_n3,left,1,2,2,2,3,3,1,3,,1.3765932999999677
71,2021_Nov_09_1318,034,26,male,turkish,stimulus_o2_b1_c1_n2,stimulus_o2_b1_c1_n3,right,2,2,1,1,1,1,2,3,,1.5474824000000353
72,2021_Nov_09_1318,034,26,male,turkish,stimulus_o1_b3_c1_n2,stimulus_o2_b3_c2_n3,right,1,2,3,3,1,2,2,3,,2.1597564999999577
73,2021_Nov_09_1318,034,26,male,turkish,stimulus_o1_b2_c3_n1,stimulus_o2_b3_c1_n3,left,1,2,2,3,3,1,1,3,,1.2831513999999515
74,2021_Nov_09_1318,034,26,male,turkish,stimulus_o1_b2_c3_n1,stimulus_o1_b3_c3_n1,right,1,1,2,3,3,3,1,1,,2.9057712000001175
75,2021_Nov_09_1318,034,26,male,turkish,stimulus_o1_b3_c3_n3,stimulus_o2_b2_c3_n3,right,1,2,3,2,3,3,3,3,,1.510561899999857
76,2021_Nov_09_1318,034,26,male,turkish,stimulus_o1_b3_c1_n3,stimulus_o2_b1_c1_n2,left,1,2,3,1,1,1,3,2,,4.371839399999999
77,2021_Nov_09_1318,034,26,male,turkish,stimulus_o1_b1_c1_n1,stimulus_o1_b2_c1_n2,left,1,1,1,2,1,1,1,2,,2.2760593999998946
78,2021_Nov_09_1318,034,26,male,turkish,stimulus_o2_b3_c1_n2,stimulus_o2_b3_c2_n1,right,2,2,3,3,1,2,2,1,,1.354854899999964
79,2021_Nov_09_1318,034,26,male,turkish,stimulus_o1_b3_c3_n2,stimulus_o2_b3_c2_n1,right,1,2,3,3,3,2,2,1,,3.414983500000062
80,2021_Nov_09_1318,034,26,male,turkish,stimulus_o1_b2_c2_n1,stimulus_o2_b2_c2_n1,right,1,2,2,2,2,2,1,1,,1.2057796999999937
81,2021_Nov_09_1318,034,26,male,turkish,stimulus_o1_b1_c1_n2,stimulus_o2_b3_c3_n1,right,1,2,1,3,1,3,2,1,,1.9654834000000392
82,2021_Nov_09_1318,034,26,male,turkish,stimulus_o1_b1_c3_n1,stimulus_o2_b2_c3_n2,left,1,2,1,2,3,3,1,2,,2.3454355999999734
83,2021_Nov_09_1318,034,26,male,turkish,stimulus_o1_b1_c1_n2,stimulus_o1_b3_c1_n2,left,1,1,1,3,1,1,2,2,,4.556441999999834
84,2021_Nov_09_1318,034,26,male,turkish,stimulus_o1_b3_c3_n3,stimulus_o2_b2_c3_n2,left,1,2,3,2,3,3,3,2,,1.6620787000001656
