,TimeStamp,ID,Age,Gender,Language,Stimulus,Orientation,BlankSpace,Complexity,Noise,Reaction_time,Screenshot_name
0,2021_Oct_29_1124,016,23,female,danish,stimulus_o2_b1_c2_n3,2,1,2,3,26.371109600000636,screenshots/screenshot_stimulus_o2_b1_c2_n3_016_2021_Oct_29_1124.png
1,2021_Oct_29_1124,016,23,female,danish,stimulus_o2_b3_c3_n3,2,3,3,3,46.30752539999958,screenshots/screenshot_stimulus_o2_b3_c3_n3_016_2021_Oct_29_1124.png
2,2021_Oct_29_1124,016,23,female,danish,stimulus_o2_b1_c2_n1,2,1,2,1,22.029657499999303,screenshots/screenshot_stimulus_o2_b1_c2_n1_016_2021_Oct_29_1124.png
3,2021_Oct_29_1124,016,23,female,danish,stimulus_o2_b1_c1_n1,2,1,1,1,17.063110600000073,screenshots/screenshot_stimulus_o2_b1_c1_n1_016_2021_Oct_29_1124.png
4,2021_Oct_29_1124,016,23,female,danish,stimulus_o2_b3_c1_n1,2,3,1,1,18.563530700001138,screenshots/screenshot_stimulus_o2_b3_c1_n1_016_2021_Oct_29_1124.png
5,2021_Oct_29_1124,016,23,female,danish,stimulus_o2_b3_c3_n2,2,3,3,2,51.994592200000625,screenshots/screenshot_stimulus_o2_b3_c3_n2_016_2021_Oct_29_1124.png
6,2021_Oct_29_1124,016,23,female,danish,stimulus_o1_b3_c2_n1,1,3,2,1,32.86782040000253,screenshots/screenshot_stimulus_o1_b3_c2_n1_016_2021_Oct_29_1124.png
7,2021_Oct_29_1124,016,23,female,danish,stimulus_o2_b3_c2_n1,2,3,2,1,31.62745200000063,screenshots/screenshot_stimulus_o2_b3_c2_n1_016_2021_Oct_29_1124.png
8,2021_Oct_29_1124,016,23,female,danish,stimulus_o2_b2_c3_n1,2,2,3,1,47.31675239999822,screenshots/screenshot_stimulus_o2_b2_c3_n1_016_2021_Oct_29_1124.png
9,2021_Oct_29_1124,016,23,female,danish,stimulus_o2_b3_c2_n2,2,3,2,2,26.14270409999881,screenshots/screenshot_stimulus_o2_b3_c2_n2_016_2021_Oct_29_1124.png
10,2021_Oct_29_1124,016,23,female,danish,stimulus_o1_b1_c2_n1,1,1,2,1,30.55994920000012,screenshots/screenshot_stimulus_o1_b1_c2_n1_016_2021_Oct_29_1124.png
11,2021_Oct_29_1124,016,23,female,danish,stimulus_o1_b3_c3_n2,1,3,3,2,35.96549919999961,screenshots/screenshot_stimulus_o1_b3_c3_n2_016_2021_Oct_29_1124.png
12,2021_Oct_29_1124,016,23,female,danish,stimulus_o1_b3_c1_n1,1,3,1,1,10.093721100001858,screenshots/screenshot_stimulus_o1_b3_c1_n1_016_2021_Oct_29_1124.png
13,2021_Oct_29_1124,016,23,female,danish,stimulus_o1_b2_c2_n3,1,2,2,3,27.75073120000161,screenshots/screenshot_stimulus_o1_b2_c2_n3_016_2021_Oct_29_1124.png
14,2021_Oct_29_1124,016,23,female,danish,stimulus_o1_b1_c2_n3,1,1,2,3,28.398677600001974,screenshots/screenshot_stimulus_o1_b1_c2_n3_016_2021_Oct_29_1124.png
15,2021_Oct_29_1124,016,23,female,danish,stimulus_o1_b2_c1_n1,1,2,1,1,12.564103000000614,screenshots/screenshot_stimulus_o1_b2_c1_n1_016_2021_Oct_29_1124.png
16,2021_Oct_29_1124,016,23,female,danish,stimulus_o1_b1_c3_n1,1,1,3,1,50.16835210000136,screenshots/screenshot_stimulus_o1_b1_c3_n1_016_2021_Oct_29_1124.png
17,2021_Oct_29_1124,016,23,female,danish,stimulus_o2_b2_c1_n3,2,2,1,3,17.27776520000043,screenshots/screenshot_stimulus_o2_b2_c1_n3_016_2021_Oct_29_1124.png
18,2021_Oct_29_1124,016,23,female,danish,stimulus_o2_b3_c1_n2,2,3,1,2,18.2733006999988,screenshots/screenshot_stimulus_o2_b3_c1_n2_016_2021_Oct_29_1124.png
19,2021_Oct_29_1124,016,23,female,danish,stimulus_o2_b2_c1_n2,2,2,1,2,12.316648600000917,screenshots/screenshot_stimulus_o2_b2_c1_n2_016_2021_Oct_29_1124.png
20,2021_Oct_29_1124,016,23,female,danish,stimulus_o1_b3_c3_n3,1,3,3,3,33.15446679999877,screenshots/screenshot_stimulus_o1_b3_c3_n3_016_2021_Oct_29_1124.png
21,2021_Oct_29_1124,016,23,female,danish,stimulus_o1_b2_c2_n1,1,2,2,1,13.44643139999971,screenshots/screenshot_stimulus_o1_b2_c2_n1_016_2021_Oct_29_1124.png
22,2021_Oct_29_1124,016,23,female,danish,stimulus_o2_b2_c3_n2,2,2,3,2,50.10255529999995,screenshots/screenshot_stimulus_o2_b2_c3_n2_016_2021_Oct_29_1124.png
23,2021_Oct_29_1124,016,23,female,danish,stimulus_o1_b3_c2_n2,1,3,2,2,19.678322600000683,screenshots/screenshot_stimulus_o1_b3_c2_n2_016_2021_Oct_29_1124.png
24,2021_Oct_29_1124,016,23,female,danish,stimulus_o1_b1_c1_n1,1,1,1,1,9.008288299999549,screenshots/screenshot_stimulus_o1_b1_c1_n1_016_2021_Oct_29_1124.png
25,2021_Oct_29_1124,016,23,female,danish,stimulus_o2_b1_c3_n1,2,1,3,1,34.96552270000029,screenshots/screenshot_stimulus_o2_b1_c3_n1_016_2021_Oct_29_1124.png
26,2021_Oct_29_1124,016,23,female,danish,stimulus_o1_b2_c3_n2,1,2,3,2,24.17088270000022,screenshots/screenshot_stimulus_o1_b2_c3_n2_016_2021_Oct_29_1124.png
27,2021_Oct_29_1124,016,23,female,danish,stimulus_o2_b1_c3_n3,2,1,3,3,32.041706500000146,screenshots/screenshot_stimulus_o2_b1_c3_n3_016_2021_Oct_29_1124.png
