,TimeStamp,ID,Age,Gender,Language,Stimulus,Orientation,BlankSpace,Complexity,Noise,Reaction_time,Response,Correct_response,Correctness
0,2021_Oct_27_0810,002,26,male,vietnamese,stimulus_o1_b1_c2_n2,1,1,2,2,1.9761983843749475,left,left,1
1,2021_Oct_27_0810,002,26,male,vietnamese,stimulus_o2_b2_c3_n3,2,2,3,3,1.1576553909053473,right,right,1
2,2021_Oct_27_0810,002,26,male,vietnamese,stimulus_o2_b1_c2_n2,2,1,2,2,1.028513047291017,right,right,1
3,2021_Oct_27_0810,002,26,male,vietnamese,stimulus_o2_b1_c2_n2,2,1,2,2,2.1628989068696685,right,right,1
4,2021_Oct_27_0810,002,26,male,vietnamese,stimulus_o2_b3_c2_n2,2,3,2,2,1.428351978734645,right,right,1
5,2021_Oct_27_0810,002,26,male,vietnamese,stimulus_o2_b3_c1_n3,2,3,1,3,3.386230434516983,right,right,1
6,2021_Oct_27_0810,002,26,male,vietnamese,stimulus_o2_b3_c1_n2,2,3,1,2,3.1101384349274666,left,left,1
7,2021_Oct_27_0810,002,26,male,vietnamese,stimulus_o1_b2_c3_n1,1,2,3,1,2.9218772601152523,left,left,1
8,2021_Oct_27_0810,002,26,male,vietnamese,stimulus_o2_b2_c1_n1,2,2,1,1,4.203850378793322,left,left,1
9,2021_Oct_27_0810,002,26,male,vietnamese,stimulus_o1_b1_c3_n3,1,1,3,3,0.8517077532604163,left,left,1
10,2021_Oct_27_0810,002,26,male,vietnamese,stimulus_o2_b3_c1_n2,2,3,1,2,1.6924733324416592,left,left,1
11,2021_Oct_27_0810,002,26,male,vietnamese,stimulus_o1_b3_c1_n2,1,3,1,2,1.3340700407670738,right,right,1
12,2021_Oct_27_0810,002,26,male,vietnamese,stimulus_o1_b2_c1_n1,1,2,1,1,3.01030392950197,right,right,1
13,2021_Oct_27_0810,002,26,male,vietnamese,stimulus_o2_b2_c2_n1,2,2,2,1,2.144982868425359,right,right,1
14,2021_Oct_27_0810,002,26,male,vietnamese,stimulus_o2_b1_c2_n1,2,1,2,1,2.5452397057404594,right,right,1
15,2021_Oct_27_0810,002,26,male,vietnamese,stimulus_o1_b2_c2_n1,1,2,2,1,1.0637284323845961,left,left,1
16,2021_Oct_27_0810,002,26,male,vietnamese,stimulus_o2_b1_c1_n3,2,1,1,3,1.9685144007540658,right,right,1
17,2021_Oct_27_0810,002,26,male,vietnamese,stimulus_o1_b3_c1_n3,1,3,1,3,1.2163175083956959,left,left,1
18,2021_Oct_27_0810,002,26,male,vietnamese,stimulus_o1_b3_c3_n3,1,3,3,3,1.7747531933875507,right,right,1
19,2021_Oct_27_0810,002,26,male,vietnamese,stimulus_o2_b2_c3_n1,2,2,3,1,1.280987624149202,right,right,1
20,2021_Oct_27_0810,002,26,male,vietnamese,stimulus_o1_b3_c2_n3,1,3,2,3,1.3042304390059143,right,right,1
21,2021_Oct_27_0810,002,26,male,vietnamese,stimulus_o1_b3_c2_n2,1,3,2,2,3.639191873317759,right,right,1
22,2021_Oct_27_0810,002,26,male,vietnamese,stimulus_o1_b3_c2_n1,1,3,2,1,1.1221645022478697,right,right,1
